id,outlet,title,source_rating,ai_rating,text_length,include
0,Reuters,Ukraine says it will do all it can to maintain US ties after Trump pauses aid,Center,Center,7733,YES
1,Reuters,Eastern Europe's media in the crosshairs after USAID funding freeze,Center,Left,7239,YES
2,Reuters,US Supreme Court Roberts pauses federal judge's order on Trump administration foreign aid funding,Center,Center,6218,YES
3,Reuters,US Congress nowhere close to deal to avert shutdown ahead of March 14 deadline,Center,Center,5332,YES
4,Reuters,"Car drives into crowd in German city of Mannheim, killing two",Center,Center,4715,YES
5,The Guardian,Musk says failure to respond to achievements email will result in sacking – US politics live,Left,Left,22558,YES
6,The Guardian,Greenpeace loss will embolden big oil and gas to pursue protesters: ‘No one will feel safe’,Left,Left,6647,YES
7,The Guardian,Anger in Greenland over Usha Vance and Mike Waltz’s planned visit this week,Left,Left,4104,YES
8,The Guardian,Fired USAid workers and HIV activists hold ‘die-in’ to protest Trump and Musk,Left,Left,4075,YES
9,The Guardian,US annual inflation rate in February remains relatively stable at 2.8%,Left,Left,3180,YES
10,Associated Press,Violent attacks on Tesla dealerships spike as Musk takes prominent role in Trump White House,Left,Center,7660,YES
11,Associated Press,‘It’s not personal': Trump’s deportation efforts find support among South Florida Latinos,Left,Center,7500,YES
12,Associated Press,"Trump grants one-month exemption for US automakers from new tariffs on imports from Mexico, Canada",Left,No content,7385,YES
13,Associated Press,"George Foreman, the fearsome heavyweight who became a beloved champion, dies at 76",Left,Center,7139,YES
14,Associated Press,Louisiana puts man to death in state’s first nitrogen gas execution,Left,Center,6668,YES
15,Fox News Digital,Homan blasts blue state as report shows it releasing illegals charged with ‘horrific’ crimes on low bails,Not rated,Right,8418,YES
16,Fox News Digital,DHS boss Noem vows to ‘hunt’ down those making swatting calls targeting conservative media,Right,Right,4597,YES
17,Fox News Digital,AG Pam Bondi says some Epstein files coming Thursday: 'It's pretty sick',Right,Lean Right,4127,YES
18,Fox News Digital,Newsom's viral 'Latinx' claim crumbles amid scrutiny of his own administration's online records,Right,Lean Right,4025,YES
19,Fox News Digital,Judge blocks Trump's EPA from terminating $14 billion in 'green bank' grants after accusations of fraud,Right,Lean Right,3386,YES
20,Just The News,"ISIS-K terrorist confesses role in Abbey Gate, Moscow and embassy attacks",Lean Right,No content,8362,YES
21,Just The News,FBI hands over Biden-era “weaponization” scandal documents to Jim Jordan,Lean Right,Lean Right,8325,YES
22,Just The News,"European leaders promise greater defense, float Ukraine peacekeeping force in response to Trump",Lean Right,Lean Right,7593,YES
23,Just The News,"FTC crashes FCC party in threats against Big Tech for censorship in tug-of-war with Europe, Brazil",Lean Right,Lean Right,7200,YES
24,Just The News,"Before it was shuttered, USAID routed funds to Soros-aligned causes, terrorists and drag queens",Lean Right,Right,5553,YES
25,CNBC,Negotiations to avert a shutdown sputter as disputes over DOGE cuts persist,Center,Center,6321,YES
26,CNBC,Eli Lilly plans at least $27 billion in new U.S. manufacturing investments,Center,Center,4602,YES
27,CNBC,"EU leaders prepare ‘concrete’ measures on defense financing, sources say",Center,Center,4584,YES
28,CNBC,German parliament to vote on historic debt reform,Center,Center,4182,YES
29,CNBC,Appeals court allows Trump administration to remove ethics watchdog Dellinger — for now,Center,No content,3807,YES
30,Washington Post,"With White House visit, U.K.’s Starmer to have a go at persuading Trump",Lean Left,Left,7124,YES
31,Washington Post,Biden Justice Department downplayed U.K. demand for Apple ‘back door’,Lean Left,Center,7005,YES
32,Washington Post,Musk and Trump ratchet up involvement in Wisconsin Supreme Court race,Lean Left,Left,6150,YES
33,Washington Post,"U.S. designates Houthis a terrorist organization, reversing Biden move",Lean Left,Center,6128,YES
34,Washington Post,White House names Amy Gleason U.S. DOGE Service Administrator,Lean Left,Center,3991,YES
35,Axios,Meet the D.C. women shaking up right-wing media,Lean Left,Lean Right,4079,YES
36,Axios,Leaked memo: DOGE plots to cut Social Security phone support,Lean Left,Left,2348,YES
37,Axios,Schumer says he's staying put amid growing resignation pressure,Lean Left,Center,1738,YES
38,Axios,White House orders agencies to prepare for large-scale firings,Lean Left,Center,1509,YES
39,Axios,U.S. astronauts finally returning to Earth after 9 months in space,Lean Left,Center,1440,YES
40,Gigafact,Is there evidence linking the Texas measles outbreak to a surge in illegal immigration?,Center,Center,967,YES
41,Gigafact,Is there a consensus that a majority of Americans are living paycheck to paycheck?,Center,Center,945,YES
42,Gigafact,Do Native American tribal members in Oklahoma pay taxes?,Center,Center,872,YES
43,Gigafact,Are 1 in 4 Oklahomans enrolled in Medicaid?,Center,Center,871,YES
44,Gigafact,Are Wisconsin sheriffs required to check the immigration status of people in jail?,Center,No content,865,YES
45,Newsmax (News),Ukraine's Osadchuk to Newsmax: Zelenskyy Has Ukraine's Support,Right,Lean Right,2798,YES
46,Newsmax (News),"Trump, Zelenskyy Blowup Might Lure Putin to Table",Right,Lean Right,2618,YES
47,Newsmax (News),US Judge Blocks Trump's Transgender Military Ban,Right,Left,2266,YES
48,Newsmax (News),Sen. Cruz to Newsmax: Illegal Immigration Down 90 Percent,Right,Right,2240,YES
49,Newsmax (News),Trump Wants Sanctions on Law Firms for 'Frivolous' Suits,Not rated,Right,1991,YES
50,Politico,The Testing of John Thune,Lean Left,Center,26486,YES
51,Politico,Gavin Newsom is launching his own podcast — and inviting MAGA favorites,Lean Left,Left,8581,YES
52,Politico,The ‘Free World’ Is Gone and There’s No Turning Back,Lean Left,Left,8230,YES
53,Politico,House vs. Senate tensions jam up the Trump agenda,Lean Left,Center,7194,YES
54,Politico,Inside the Rubio-Musk Relationship — and Rubio’s Survival Strategy,Lean Left,Center,7153,YES
55,New York Times (News),Ireland’s Leader Visits White House Amid Tensions With Europe,Lean Left,Left,55135,YES
56,New York Times (News),Tuberculosis Resurgent as Trump Funding Cut Disrupts Treatment Globally,Lean Left,Left,11185,YES
57,New York Times (News),Trump’s Tariffs on Steel and Aluminum Go Into Effect,Lean Left,Left,9513,YES
58,New York Times (News),"As G.O.P. Eyes Medicaid Cuts, States Could be Left With Vast Shortfalls",Lean Left,Left,9164,YES
59,New York Times (News),Trump Turns Up Trade Pressure on China After Beijing Fails to Come Running,Lean Left,Center,7236,YES
60,National Review (News),BBC’s Accidental Hamas Profile Just the Latest Incident in Long Anti-Israel Track Record,Lean Right,No content,0,YES
61,National Review (News),BlackRock Agrees to Buy Panama Canal Ports in Win for Trump Effort to Reassert U.S. Influence,Lean Right,No content,0,YES
62,National Review (News),Yes to English as the Official Language,Lean Right,No content,0,YES
63,National Review (News),Highland Park Parade Shooter Changes Plea to Guilty as Trial Begins,Lean Right,No content,0,YES
